new-clean-winemag-data-130k-v2,,,,,,,,,,,,,
id,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
433,United States,"Smoky aromas and a bold apricot flavor give this dry and seemingly light-bodied wine a distinct personality. Fermented in small concrete egg-shaped vats, it's far from simple and fruity, and instead offers great acidity and a tangy, tempting, appetizing personality.",Stepping Stones,89,27,California,Santa Barbara,Central Coast,Jim Gordon,@gordone_cellars,Prospect 772 2014 Stepping Stones Grenache Blanc,Grenache Blanc,Prospect 772
434,Italy,"Coffee, toasted oak, coconut and raspberry confiture aromas lead the way. On the dense palate, dark chocolate, oak and licorice accent fleshy black cherry while fine-grained tannins provide support.",Rocche Dell'annunziata,89,89,Piedmont,Barolo,,Kerin O'keefe,@kerinokeefe,Revello Fratelli 2012 Rocche Dell'annunziata,Nebbiolo,Revello Fratelli
435,Austria,"Creamy notes pear crumble make for a most attractive nose. The palate follows with gentle softness and concentration, supported by bright, fresh acidity. The creamy notes continue alongside notes of green and red apple and fresh pear. There is a lot of substance and body, so have this alongside a meal, the finish is superclean.",Lage Modler,89,0,Thermenregion,,,Anne Krebiehl,@anneinvino,Gebeshuber 2015 Lage Modler Zierfandler,Zierfandler,Gebeshuber
436,Italy,"Aromas of apricot and white spring flower lift out of the glass. The apricot note follows through to the palate, along with yellow peach, honeydew melon and almond, all framed in bright acidity. This one closes on a flinty note.",Gold Label,89,15,Piedmont,Gavi,,Kerin O'keefe,@kerinokeefe,Tenuta La Marchesa 2015 Gold Label,Cortese,Tenuta La Marchesa
437,United States,"Blended from all five Bordeaux varieties, with Cabernet Sauvignon and Merlot almost equal in proportion, this is a lovely, well-crafted wine, softly concentrated with highlights of licorice, lavender, violets and black pepper. From three ranches farmed by the family, it's both seamless and structured.",Henry's Blend,89,54,California,Alexander Valley,Sonoma,Virginie Boone,@vboone,Trione 2012 Henry's Blend Red,Bordeaux-style Red Blend,Trione
438,Spain,"Fresh, focused and tight on the nose, with an undertone of mild oak and earth, this gets going with ease. A fresh, fruity palate is just rugged enough, while flavors of black plum, cherry, licorice and herbs finish toasty, spicy and firm.",Século,89,15,Northern Spain,Bierzo,,Michael Schachner,@wineschach,Vinos De Arganza 2012 Século Mencía,Mencía,Vinos De Arganza
439,Spain,"Leathery berry and savory, smoky oak aromas are a rugged introduction to a stout palate with juicy acidity. Flavors of baked plum, hard spices, salt and savory herbs finish with rubbery tannins, energy and spicy, peppery flavors.",Marqués De Montejos Selección,89,42,Northern Spain,Vino De La Tierra De Castilla,,Michael Schachner,@wineschach,Vinos De Arganza 2013 Marqués De Montejos Selección Mencía,Mencía,Vinos De Arganza
440,United States,"This wine is a blend of fruit from five different vineyards scattered across the valley. The aromas of barrel spice, black cherry, dried leaves, herbs and flowers still seem quite locked up. The flavors are generous and full with palate coating milk chocolate and cherry flavors with a finish that lingers.",,89,38,Washington,Walla Walla Valley,Columbia Valley,Sean P. Sullivan,@wawinereport,Walla Walla Vintners 2013 Cabernet Sauvignon,Cabernet Sauvignon,Walla Walla Vintners
441,Austria,"Tender notes of red apple skin and bottled strawberries are pulled into focus by zesty citrus. The bone-dry palate reveals more bottled but wonderfully tart strawberry flavors and finishes in a very linear, refreshing and light-footed fashion.",Rosé,89,12,Niederösterreich,,,Anne Krebiehl,@anneinvino,Winzer Krems 2015 Rosé Zweigelt,Zweigelt,Winzer Krems
442,United States,"Voluptuous blackberry and plum flavors are edged by hints of bitter coffee and spice in this richly bodied wine. Fringed by a bare feather of tannins, it's luscious in mouthfeel, with an unctuousness that persists luxuriously on the palate.",Caya,89,35,New York,Long Island,,Anna Lee C. Iijima,,Wölffer 2013 Caya Cabernet Franc,Cabernet Franc,Wölffer
443,United States,"Berry crumble and licorice star in this full-bodied, hearty and smooth wine, blended with 4% Petite Sirah. Spicy oak and milk chocolate unleash further flavor and spice on the finish.",Estate Grown,88,32,California,Sonoma Valley,Sonoma,Virginie Boone,@vboone,Dunbar 2012 Estate Grown Zinfandel,Zinfandel,Dunbar
444,Austria,"Earthy, savory notes of yeast and miso swing alongside the green pear flavors. There is spice and concentration on the midpalate and some tingling pepper spice.",Altweingarten,88,12,Wagram,,,Anne Krebiehl,@anneinvino,Eschenhof Holzer 2015 Altweingarten Grüner Veltliner,Grüner Veltliner,Eschenhof Holzer
445,Italy,"Vibrant and savory, this has aromas of red berry, blue flower and a whiff of baking spice. The bright palate doles out red cherry, juicy strawberry, and star anise alongside bright acidity that gives it a crisp finish.",Vigorosa Rosato,88,28,Sicily and Sardinia,Etna,,Kerin O'keefe,@kerinokeefe,Fattorie Romeo Del Castello 2015 Vigorosa Rosato Nerello Mascalese,Nerello Mascalese,Fattorie Romeo Del Castello
446,United States,"Fresh blueberry and grape aromas meet with black plum, asphalt and turned earth on the nose of this bottling by Steve Dooley of Stephen Ross Cellars. Fresh blackberry juice, black pepper and dill show on the palate that is coated with decent acidity and a good tannic structure.",,88,20,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Flying Cloud 2014 Cabernet Sauvignon,Cabernet Sauvignon,Flying Cloud
447,France,"The wine is initially soft with melon and ripe pear fruit. Behind this fruity exterior, there is a crisper citrus character that is bright and light. It's a ripe wine, all fruit with a tighter, mineral aftertaste. Drink from 2017.",Domaine De La Vieille Cure Sur Lie,88,14,Loire Valley,Muscadet Sèvre Et Maine,,Roger Voss,@vossroger,Gadais Père Et Fils 2015 Domaine De La Vieille Cure Sur Lie,Melon,Gadais Père Et Fils
448,France,"This appealing blend of 50% Roussanne, 30% Grenache Blanc and 20% Clairette is tight and citrusy on the nose, broadening out on the palate to offer hints of apple, pineapple and underripe melon. Drink now.",Domaine De La Becassonne,88,19,Rhône Valley,Côtes Du Rhône,,Joe Czerwinski,@joecz,André Brunel 2014 Domaine De La Becassonne White,Rhône-style White Blend,André Brunel
449,Italy,"Aligi Sassu is a lovely sparkler without added sugar or liqueur. It offers a fragrance of white flower, lemon drop and nut. The palate delivers citrus, apple and almond flavors along with refined, persistent bubbles and a bone-dry finish.",Pas Dosé Aligi Sassu,92,39,Lombardy,Franciacorta,,Kerin O'keefe,@kerinokeefe,Majolini 2006 Pas Dosé Aligi Sassu Chardonnay,Chardonnay,Majolini
450,France,"Now part of Jacquart Champagne, Montaudon produces sophisticated and elegant wines, as this Classe M shows. It is crisp and dry in style with citrus and grapefruit flavors dominating. but some bottle age adds texture and notes of toastiness.",Classe M,92,0,Champagne,Champagne,,Roger Voss,@vossroger,Montaudon Nv Classe M,Champagne Blend,Montaudon
451,Italy,"Here's an enticing Vino Nobile offering aromas of underbrush, tobacco leaf, ripe cherry and spice. The palate delivers succulent black cherry, plum, cinnamon and nutmeg along with velvety tannins. Although it shows the warmth of the vintage, it still retains elegance and class. Delicatio Wines, Golden Vines.",Messaggero,92,35,Tuscany,Vino Nobile Di Montepulciano,,Kerin O'keefe,@kerinokeefe,Montemercurio 2007 Messaggero,Sangiovese,Montemercurio
452,France,"Aromas of wood aging and ripe yellow fruits are a fine pairing for this wine that comes from the slopes above Meursault. With its textured character, apricot and peach flavors and tight acidity, this is a serious and complex wine that demands aging. Drink from 2015.",Les Tillets,92,0,Burgundy,Meursault,,Roger Voss,@vossroger,Patrick Javillier 2011 Les Tillets,Chardonnay,Patrick Javillier
453,France,"This is a rich, bottle-aged wine is bright with lemon and green-apple fruitiness, but it's starting to develop secondary flavors—notes of toast, almonds and cookies—as well. It's at just the right stage of development and ready to drink now.",Brut Prestige,92,69,Champagne,Champagne,,Roger Voss,@vossroger,Philippe Fontaine Nv Brut Prestige,Champagne Blend,Philippe Fontaine
454,Canada,"An aromatic knockout with notes of peach, papaya, lychee and brown sugar. At 250 g/L of residual sugar, it's dense and rich with carmelized sugar flavors and a lengthy finish.",Reserve Icewine,92,30,Ontario,Niagara-on-the-lake,,Sean P. Sullivan,@wawinereport,Pillitteri 2012 Reserve Icewine Vidal,Vidal,Pillitteri
455,United States,"Fine acidity and a bracing minerality, like a lick of cold steel on a winter day, mark this Chardonnay. It has oak notes, but they're wisely kept in the background, allowing the citrus, green apple and peach flavors to star. This beautiful wine continues the winery's string of great reserve Chardonnays, and is their best since the 2006 vintage.",Reserve,92,40,California,Carneros,Napa,,,Robert Mondavi 2011 Reserve Chardonnay,Chardonnay,Robert Mondavi
456,United States,"Thickly moussed, Roederer's Brut, 60% Chardonnay blended with 40% Pinot Noir, aged two years on yeast is affordable and luxurious. A gorgeous, very dry sparkling wine with aromatics of honey, raisin, apple and pear, it is rich and soft and offers both depth and length. It's an ideal marriage of bright acidity and ripe fruit character.",Brut,92,23,California,Anderson Valley,,Virginie Boone,@vboone,Roederer Estate Nv Brut Sparkling,Sparkling Blend,Roederer Estate
457,United States,"With a wine this finely constructed, the question is always ageability. There's no question about the immediate deliciousness. It's thrilling with raspberries, strawberries, orange rind and cola, and complex notes of minerals and earth. The mouthfeel is absolutely beautiful, comprised of silk and satin brightened with acidity. So should you drink it now? Yes. Will it age? For the next six years, yes.",Solomon Hills Vineyard,92,45,California,Santa Maria Valley,Central Coast,,,Rusack 2011 Solomon Hills Vineyard Pinot Noir,Pinot Noir,Rusack
458,Italy,"From one of Franciacorta's leading producers, Gran Cuvée Pas Operé offers an enticing fragrance of acacia flower, white flowers and beeswax. The creamy palate delivers apple, nut, spice, thyme and sage along with fine, persistent effervescence.",Gran Cuvée Pas Opere,92,50,Lombardy,Franciacorta,,Kerin O'keefe,@kerinokeefe,Bellavista 2006 Gran Cuvée Pas Operé Sparkling,Sparkling Blend,Bellavista
459,France,"A rich, bottled-aged wine, full of toast as well as apple and crisp grapefruit flavors, this has great balance and elegance. It's full of fruit, but structured and seamlessly integrated. It's ready to drink now, but will also improve with age. Drink until 2020.",Tzarina No 1 Brut,92,100,Champagne,Champagne,,Roger Voss,@vossroger,Chanoine Nv Tzarina No 1 Brut,Champagne Blend,Chanoine
460,United States,"Proving that exceptional wines can be (and were) made in this cool, light vintage, this estate-grown selection is both elegant and complex. Flavors of mixed wild berries, a streak of tea, a whiff of peach and compelling balance carry it through an extended finish.",Ridgecrest Vineyard,92,50,Oregon,Ribbon Ridge,Willamette Valley,Paul Gregutt,@paulgwine,Chehalem 2011 Ridgecrest Vineyards Pinot Noir,Pinot Noir,Chehalem
461,United States,"A marvelous Pinot Blanc, this combines aromatic hints of almond with mixed citrus fruit and rind, zippy acidity and a great wash of minerality. It cleanses and tickles the palate, lingering sensuously through a finish of surprising depth.",Stoller Vineyard,92,29,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine,Chehalem 2012 Stoller Vineyards Pinot Blanc,Pinot Blanc,Chehalem
462,France,"This big, ripe and fruity wine shows both the richness and the structure of the vintage, but never loses sight of balance. It's full of rich yellow fruits, green plums and citrus, but structured with refreshing acidity, a minerally texture and gentle hints of wood aging. Drink from 2015.",Blagny Premier Cru,92,66,Burgundy,Meursault,,Roger Voss,@vossroger,Henri De Villamont 2010 Blagny Premier Cru,Chardonnay,Henri De Villamont
463,France,"This is a beautiful wine showing remarkable richness and maturity. Hints of toast and bright fruits combine seamlessly to yield a full, ripe wine marked with with intense acidity. With concentration from old vines showing strongly, it's a wine that's ready to drink now.",Cuvée Marguerite Brut,92,60,Champagne,Champagne,,Roger Voss,@vossroger,Vollereaux 2007 Cuvée Marguerite Brut,Champagne Blend,Vollereaux
464,Germany,"Richly textured and unabashedly full in body, this dry Riesling is intensely ripe. Pineapple and peach flavor is accented by zesty lime peel and earthy tones of wet stone and lanolin. The midpalate is lifted by a whiff of violet perfume and bold, lemon-lime acidity envigorates the finish.",Westhofen Morstein Gg Trocken,92,115,Rheinhessen,,,Anna Lee C. Iijima,,Wittmann 2011 Westhofen Morstein Gg Trocken Riesling,Riesling,Wittmann
465,Italy,"Morar is a spicy Amarone with a fragrance of raisin, baked plum, tobacco and black pepper. The palate delivers lush black cherry and raspberry flavors mingled with intense white pepper, clove and nutmeg notes. It's smooth and rich with enough freshness to make this a perfect match for seasoned cheeses or roasted red meat.",Morar,92,69,Veneto,Amarone Della Valpolicella Classico,,Kerin O'keefe,@kerinokeefe,Valentina Cubi 2008 Morar,Red Blend,Valentina Cubi
466,France,"Crisp and structured, this is an intensely mineral wine. It has great acidity and a strongly zesty, tangy character that still needs time to soften. It's bright, fruity and full of dancing freshness. It's good to go now, but keep until 2017 and it will be that much more complex.",Blanc De Blancs Brut,92,0,Champagne,Champagne,,Roger Voss,@vossroger,Deutz 2007 Blanc De Blancs Brut Chardonnay,Chardonnay,Deutz
467,United States,"Dense, dark and spicy, this opens with a thicket of briar and bramble—one almost wants to say thistle—wrapped around taut, compact black fruits. There is a hint of gun metal running through the palate, and as the wine warms and slowly opens, it reveals a lingering finish with a little pat of butter left on the tongue. This should be in fine shape for at least another decade.",Evenstad Reserve,92,65,Oregon,Willamette Valley,,Paul Gregutt,@paulgwine,Domaine Serene 2010 Evenstad Reserve Pinot Noir,Pinot Noir,Domaine Serene
468,Germany,"The nose of this powerfully fruity yet dry Riesling packs a punch, with aromas of ripe pineapple, apricot and floral potpourri. The palate is dense with stone fruit, and a hint of red berry flavor, but finishes elegantly with sleek mineral tones.",Ürziger Würzgarten Alte Reben Gg Trocken,92,42,Mosel,,,Anna Lee C. Iijima,,Dr. Loosen 2011 Ürziger Würzgarten Alte Reben Gg Trocken Riesling,Riesling,Dr. Loosen
469,Germany,"Lanolin and honeycomb notes lend a minerally feel to rich, lusciously concentrated peach and tangerine flavors in this powerful yet finely structured kabinett. A hint of spritz and shocking lemon-lime acidity lead the way to a long, elegant finish.",Wehlener Sonnenuhr Kabinett,92,27,Mosel,,,Anna Lee C. Iijima,,Dr. Loosen 2011 Wehlener Sonnenuhr Kabinett Riesling,Riesling,Dr. Loosen
470,France,"Very dry in style, this is a beautifully crisp, tight and taut Champagne. It has citrus and green apple flavors, and is steely in character while also fruity. It could do well with some more bottle age.",Édition Limitée Extra Brut,92,70,Champagne,Champagne,,Roger Voss,@vossroger,H. Blin 2003 Édition Limitée Extra Brut,Champagne Blend,H. Blin
471,France,"Rich and opulent, this is a full-throated Pinot Noir. It has ripe berry flavors and a balancing acidity that supports a dense texture and underlay of firm tannins. While delicious now, this is a wine that will improve with aging so drink from 2016.",Les Chatelots Premier Cru,92,73,Burgundy,Chambolle-musigny,,Roger Voss,@vossroger,Henri De Villamont 2010 Les Chatelots Premier Cru,Pinot Noir,Henri De Villamont
472,France,"This wine is ripe, rich and full in the mouth, like a fruit salad of red cherries, plums and berries. Yet there's a more solid side—rounded tannins support the concentrated fruits, and touches of wood aging broaden the feel of this impressive wine. Drink from 2017.",Les Feusselottes Premier Cru,92,72,Burgundy,Chambolle-musigny,,Roger Voss,@vossroger,Henri De Villamont 2010 Les Feusselottes Premier Cru,Pinot Noir,Henri De Villamont
473,Portugal,"A powerful wine, richly structured and full of ripe fruits. It has a solid feel to it, firmly anchored to its dark tannins as well as lightened by the juicy berry flavors. A blend that includes Cabernet Sauvignon and Syrah, it needs serious aging, so don't drink before 2017.",Gerações Colheita Seleccionada,92,34,Alentejano,,,Roger Voss,@vossroger,Herdade Grande 2010 Gerações Colheita Seleccionada Red,Portuguese Red,Herdade Grande
474,France,"Already mature, this is a rich and opulent wine that blends together toast and secondary-fruit aromas with fresh, lively acidity. It has weight and substantial depth and concentration. It should age well for another few years, but this impressive wine can be drunk now as well.",Les Grands Nots Millesimé Brut,92,0,Champagne,Champagne,,Roger Voss,@vossroger,Jeaunaux-robin 2004 Les Grands Nots Millesimé Brut,Champagne Blend,Jeaunaux-robin
475,United States,"This 100% Cabernet Sauvignon was grown in the well-known Beckstoffer Georges III Vineyard. It's at a funny stage of development, with primary cherry and blackberry fruit starting to fade, while sage, dill, green olive and dried fruit notes are emerging. The tannins remain robust, while the acidity is just about perfect for Napa Valley. Awkward now, but with a promising future, it should emerge from the doldrums after 2017.",Clone 6,92,130,California,Rutherford,Napa,,,Bell 2009 Clone 6 Cabernet Sauvignon,Cabernet Sauvignon,Bell
476,United States,"This is a big wine, clearly in need of cellaring. There's a massive core of blackberries, cherries and baking chocolate on the palate, but it's rigidly tannic, dry and acidic still. The blend is 70% Cabernet Sauvignon, 15% Merlot and 15% Sangiovese, putting it in the super Tuscan category. Give it until 2017 to begin to mellow, and it could still be going strong in 2025.",La Castellana,92,88,California,Napa Valley,Napa,,,Castello Di Amorosa 2009 La Castellana Red,Red Blend,Castello Di Amorosa
477,France,"An interesting percentage of Cabernet Franc gives this wine a more perfumed character than is usual in many Pomerols. On the palate, the wine is rich and shows the aromatic character of the berry fruits and well integrated wood. It is young still, needing time. Drink from 2017.",,92,65,Bordeaux,Pomerol,,Roger Voss,@vossroger,Château Vray Croix De Gay 2010 Pomerol,Bordeaux-style Red Blend,Château Vray Croix De Gay
478,France,"This is a superior vintage Champagne that is just beginning to mature. Crisp white and citrus fruits are beginning to fade into mature toast and cookie flavors, but the wine maintains its zesty texture. Drink this wine now, but beware the cork is secured precariously with string that must be cut to open.",Grand Cru Family Reserve Brut,92,0,Champagne,Champagne,,Roger Voss,@vossroger,Dampierre 2005 Grand Cru Family Reserve Brut,Champagne Blend,Dampierre
479,Italy,"Garnet-ruby in color, this has fresh aromas of white cherry, plum, dried dill and rosemary. The mouthfeel is simple and clean, with fresh acidity on the close.",Riserva,87,15,Sicily and Sardinia,Cannonau Di Sardegna,,,,Santa Maria La Palma 2006 Riserva,Cannonau,Santa Maria La Palma
480,United States,"This Stella Mae is 50% Cabernet Sauvignon, 30% Merlot and 20% Cabernet Franc. It remains a rather lean wine in the Sparkman portfolio, despite having alcohol at 14.6%. Here are lightly earthy flavors of strawberry and herb, with a hint of green in the tannins.",Stella Mae,87,45,Washington,Red Mountain,Columbia Valley,Paul Gregutt,@paulgwine,Sparkman 2009 Stella Mae Red,Bordeaux-style Red Blend,Sparkman
481,Italy,"This pretty Cannonau-based wine opens with ripe aromas of blackberry, tobacco and dried spice. The mouthfeel is smooth, plush and dense.",Costera,87,18,Sicily and Sardinia,Isola Dei Nuraghi,,,,Argiolas 2008 Costera Cannonau,Cannonau,Argiolas
482,United States,"The alcohol is nice and low in this dry Pinot Noir. It has a silky texture and complex flavors of red cherries, persimmons, cola and spices. Acidity is great but there's something slightly off, suggesting a trace of unripeness. Drink now.",Ocean's Ghost,87,60,California,Sta. Rita Hills,Central Coast,,,Babcock 2010 Ocean's Ghost Pinot Noir,Pinot Noir,Babcock
483,South Africa,"A glimmer of toast and honey add depth to the green fig, apple and underripe peach center of this wine. Fresh and zippy on the palate, the vibrant fruit and sweet citrus flavors carry through to the mouthwatering finish. Drink up.",,87,12,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Cape View 2011 Chenin Blanc,Chenin Blanc,Cape View
484,South Africa,"A fresh and fruity wine that's ready to drink now. This has attractive aromas and flavors of green apple and lime followed by a clean, mouthwatering finish. There's a soft herbal streak that adds depth to the nose and mouth.",Petit,87,12,Western Cape,,,Lauren Buzzeo,@laurbuzz,Ken Forrester 2011 Petit Chenin Blanc,Chenin Blanc,Ken Forrester
485,France,"Bulky and rugged but sound, with some drying tannins on the finish. It compensates by offering attractive flavors of black cherries, black olives and hints of asphalt and garrigue. Try it with hearty braises or stews.",,87,13,Rhône Valley,Côtes Du Rhône Villages,,Joe Czerwinski,@joecz,Louis Bernard 2009 Red,Rhône-style Red Blend,Louis Bernard
486,United States,"This smooth, lush Cabernet is brimming with blackberry, black currant, blueberry cedar and spice flavors. It's classic Cabernet. You'll find quite a scour of acidity running through the middle, which suggests this wine should pair with rich, fatty meats.",L De Lyeth,87,13,California,Sonoma County,Sonoma,,,Lyeth 2010 L De Lyeth Cabernet Sauvignon,Cabernet Sauvignon,Lyeth
487,Italy,"A blend of Friulano and Verduzzo, this delivers aromas of candied fruit, yellow rose, butterscotch, spice and apricot. It opens a clear window onto the natural characteristics of both grape varieties.",Tovè,87,15,Northeastern Italy,Colli Orientali Del Friuli,,,,Marco Cecchini 2010 Tovè White,White Blend,Marco Cecchini
488,Italy,"Pinot Grigio from the Friuli Grave tends to show extra creaminess and structure in the mouth. Here is a stellar example that's backed by flavors of peach, citrus and Golden Delicious apple.",,87,18,Northeastern Italy,Friuli Grave,,,,Vigneti Le Monde 2010 Pinot Grigio,Pinot Grigio,Vigneti Le Monde
489,Italy,"This bright white is redolent of tomato leaf, wild salvia and citrus. The brightness of the bouquet is followed by a satisfyingly creamy mouthfeel.",,87,13,Northeastern Italy,Friuli Grave,,,,Vigneti Le Monde 2010 Sauvignon,Sauvignon,Vigneti Le Monde
490,Spain,"Lime, apple and mineral aromas come with a note of eggy yeast. The mouthfeel is regular and a touch foamy, with semisweet flavors of kiwi, apple and gooseberry. Mild and feeling good on the finish, it's basic but well worth a go.",Brut Réserve,87,19,Catalonia,Cava,,Michael Schachner,@wineschach,V&n; Cellars Nv Reserva Brut Sparkling,Sparkling Blend,V&n; Cellars
491,Austria,"This is a soft, creamed-apple style of wine, with a great shaft of acidity cutting through the crisp fruit. Kiwi and gooseberry fruits are lifted on the bright, lively finish.",Kellermeister Privat Goldberg,87,18,Kremstal,,,Roger Voss,@vossroger,Winzer Krems 2011 Kellermeister Privat Goldberg Grüner Veltliner,Grüner Veltliner,Winzer Krems
492,United States,"Tart and lively, this medium-bodied Sangiovese was co-fermented with small amounts of Syrah and Viognier. The Viognier contributes scents of citrus and stone fruit, which add some welcome complexity.",,87,30,Washington,Walla Walla Valley,Columbia Valley,Paul Gregutt,@paulgwine,Zerba Cellars 2008 Sangiovese,Sangiovese,Zerba Cellars
493,United States,"Produced by Three Rivers for celebrity winemaker Geoff Tate, the Insania is actually rather tame. Pretty fruit flavors of berry, cherry and plum introduce the wine gracefully, then run into some stiff, drying, chalky tannins.",,87,35,Washington,Red Mountain,Columbia Valley,Paul Gregutt,@paulgwine,Insania 2009 Red,Red Blend,Insania
494,United States,"This is intensely aromatic, with loads of tropical fruit, apple blossom and white peach notes on the nose and palate. It's fresh, tasty and big in body, yet deftly balanced. Soft, lemony acidity on the midpalate gets a boost of citrus rind and saline on the finish.",,87,12,New York,Finger Lakes,,Anna Lee C. Iijima,,Knapp 2011 Chardonnay,Chardonnay,Knapp
495,United States,"This El Dorado wine opens with aromas of sweet floral jasmine and is very pretty through and through. Its acidity sings perfectly through the middle of the wine, lifting the flavors of apple and dried apricot as well as the notes of lemon and lime on the finish. This should pair with a range of midweek dinners.",Battonage,87,18,California,El Dorado,Sierra Foothills,Virginie Boone,@vboone,Lava Cap 2010 Battonage Chardonnay,Chardonnay,Lava Cap
496,Spain,"This barrel-fermented Verdejo is interesting, but it's also a bit low on acidity. It smells like pine and blowsy flowers. Creamy, soft and cuddly on the palate, this has flavors of baked apple, wood resin and banana. It finishes round and sweet. Drink now.",Collection Blanco,87,25,Northern Spain,Rueda,,Michael Schachner,@wineschach,Loess 2009 Collection Blanco Verdejo,Verdejo,Loess
497,United States,"This wine has the variety's trademark notes of herb, green bell pepper, with a woodsy qulaity. This is a full-bodied effort, bearing a long, spicy finish.",Babcock Vineyard,87,30,California,Suisun Valley,North Coast,Virginie Boone,@vboone,Mica Cellars 2009 Babcock Vineyard Cabernet Franc,Cabernet Franc,Mica Cellars
498,United States,"There are lot's of cherry, cola, sandalwood and exotic spice flavors in this Pinot Noir. It's dry and silky, with a nice crispness from the acidity.",Annabella,87,17,California,Carneros,Napa,,,Michael Pozzan 2010 Annabella Pinot Noir,Pinot Noir,Michael Pozzan
499,France,"This is a big, spicy wine, with very ripe flavors of red berries. It''ss concentrated, with layers of pepper a tight lemon-zest acidity.",L'esprit De Provence,87,20,Provence,Côtes De Provence,,Roger Voss,@vossroger,Domaine Du Grand Cros 2011 L'esprit De Provence Rosé,Rosé,Domaine Du Grand Cros
500,Spain,"Aromas of watermelon and a dusting of natural vanilla mark the bouquet. On the palate, it's fleshy but still crisp and focused, with nectarine, red apple and strawberry flavors. The finish lasts, with some sweetness.",Rosado,87,11,Northern Spain,Rioja,,Michael Schachner,@wineschach,El Coto 2011 Rosado Rosé,Rosé,El Coto
501,United States,A Verdelho with a taste of nuts—like Marcona almonds—it gets more fruity and aromatic after a good swirl. This is marked by a tangy sweetness on the finish.,Silvaspoons Vineyard,87,15,California,Lodi,Central Valley,Virginie Boone,@vboone,Fenestra 2010 Silvaspoons Vineyard Verdelho,Verdelho,Fenestra
502,Austria,"Deliciously perfumed, this is as light as a feather, with baked apple and lemon flavors. It's crisp and honey sweet—a great apéritif.",Muscato,87,18,Österreichischer Sekt,,,Roger Voss,@vossroger,Gunter Triebaumer Nv Muscato Moscato,Moscato,Gunter Triebaumer
503,United States,"Sauvignon Blanc has been a consistent performer for Hanna, usually yielding a rich, ripe wine with brisk acidity. The '11 is one of their best efforts. It's tart, clean and savory, with the pineapple, tangerine and Meyer lemon flavors touched with a slight sweetness.",,87,19,California,Russian River Valley,Sonoma,,,Hanna 2011 Sauvignon Blanc,Sauvignon Blanc,Hanna
504,France,"A simple but attractive Côtes du Rhône, with impressively pure cherry-berry fruit, medium body and a slightly chunky feel. Drink it over the next couple of years.",Réserve Grand Veneur,87,15,Rhône Valley,Côtes Du Rhône,,Joe Czerwinski,@joecz,Alain Jaume Et Fils 2009 Réserve Grand Veneur Red,Rhône-style Red Blend,Alain Jaume Et Fils
505,Spain,"Full and smoky, with bacon, blackberry and tire rubber on the nose. This is a bit grating in feel due to full tannins and acids, with wild berry flavors, bitter oak, black plum and darkness. Lengthy on the finish.",,87,16,Northern Spain,Vino De La Tierra De Castilla,,Michael Schachner,@wineschach,Aleo 2009 Tempranillo,Tempranillo,Aleo
506,Italy,"A blend of 70% Pinot Grigio and 30% Ribolla Gialla, this bright white opens with floral notes of jasmine and honeysuckle, white pepper and stone fruit. The Ribolla Gialla element adds structure and notes of caramel and pineapple.",,87,12,Northeastern Italy,Venezia Giulia,,,,Altùris 2011 White,White Blend,Altùris
507,United States,"Medium bodied, this sharply defined wine brings in plenty of notes of herb, root and earth around its light berry fruit. It captures the defining flavors of Wahluke Slope Syrah in a somewhat muted style, reflecting the abbreviated growing season.",Clifton Vineyard,87,28,Washington,Wahluke Slope,Columbia Valley,Paul Gregutt,@paulgwine,Camaraderie 2009 Clifton Vineyard Syrah,Syrah,Camaraderie
508,United States,"This is a mix of fruit from both warm and cool vineyards, crafting a clean, fresh, lightly herbal wine with a pleasing dusty character. Hints of cocoa and toast annotate the tart berry fruit, with a thread of smoke and chalk running through the tannins.",,87,28,Washington,Yakima Valley,Columbia Valley,Paul Gregutt,@paulgwine,Camaraderie 2009 Tempranillo,Tempranillo,Camaraderie
509,United States,"This would be a straightforward Bordeaux red blend if not for the 5% Petite Sirah within. Together, it's 74% Cabernet Sauvignon, 12% Merlot, 7% Cabernet Franc and 2% Malbec as well, sourced from Howell Mountain and valley floor sites. Dusty and herbal, the wine is thick and sizably tannic, with dense black fruit, leather and coffee.",Quantum,91,65,California,Napa Valley,Napa,Virginie Boone,@vboone,Beringer 2014 Quantum Red,Red Blend,Beringer
510,United States,"Flint and smoke aromas show strongly on this bottling, alongside hints of lemon balm and a rustic apple cider vinegar savory kick. Tangy smoked tangerine flavors show on the energized sip, where a unique sandalwood smoky quality plays with more cider-like tang.",Coastview Vineyard,91,48,California,Monterey County,Central Coast,Matt Kettmann,@mattkettmann,Big Basin 2014 Coastview Vineyard Chardonnay,Chardonnay,Big Basin
511,France,"This potentially rich Champagne is still young. The Chardonnay and Pinot Noir that dominate the blend show tight acidity, minerality and a tangy, orange-like edge. Give it time to mature, and it will be splendid.",Cuvée St Clément,91,70,Champagne,Champagne,,Roger Voss,@vossroger,Boude Baudin 2010 Cuvée St Clément,Champagne Blend,Boude Baudin
